table_name,dataset,method,seed_or_summary,metric,value,artifact_path,metrics_file,manifest_config,status,reason
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,input_total,50000,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,conflicting_rows_removed,6895,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,duplicate_rows_removed,36469,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,final_total,6636,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,train,4647,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,val,994,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,dataset preparation,seed 7,test,995,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/dataset_quality.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,leakage audit,seed 7,exact_sequence_overlap_is_zero,1,datasets_50k/quo_vadis/leakage_safe/leakage_audit.json,datasets_50k/quo_vadis/leakage_safe/leakage_audit.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Quo Vadis,leakage audit,seed 7,source_group_overlap_is_zero,1,datasets_50k/quo_vadis/leakage_safe/leakage_audit.json,datasets_50k/quo_vadis/leakage_safe/leakage_audit.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Zenodo 11079764,dataset preparation,seed 7,input_total,50000,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Zenodo 11079764,dataset preparation,seed 7,conflicting_rows_removed,3601,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Zenodo 11079764,dataset preparation,seed 7,duplicate_rows_removed,7517,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/manifest.json,confirmatory,
tab:leakage-safe-preparation,Zenodo 11079764,dataset preparation,seed 7,final_total,38882,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/dataset_quality.json,datasets_50k/zenodo_11079764/leakage_safe/manifest.json,confirmatory,
