scope,measure,before,after,delta
overall,accuracy,0.8623115577889447,0.8562814070351759,-0.0060301507537688925
overall,precision,0.7312252964426877,0.68561872909699,-0.04560656734569779
overall,recall,0.7283464566929134,0.8070866141732284,0.07874015748031493
overall,f1,0.7297830374753451,0.7414104882459313,0.011627450770586134
overall,auc,0.8903004027330592,0.9005865663553189,0.010286163622259648
overall,retained_call_median_coverage,0.10526315789473684,1.0,0.8947368421052632
overall,false_positives,68,94,26.0
overall,false_negatives,69,49,-20.0
family:backdoor,recall,0.6,0.8,0.20000000000000007
family:coinminer,recall,0.2916666666666667,0.625,0.3333333333333333
family:dropper,recall,0.5714285714285714,0.7142857142857143,0.1428571428571429
family:keylogger,recall,0.5333333333333333,0.7333333333333333,0.19999999999999996
family:ransomware,recall,0.896551724137931,0.9396551724137931,0.0431034482758621
family:rat,recall,0.5,0.5,0.0
family:trojan,recall,0.8205128205128205,0.717948717948718,-0.10256410256410253
