family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
dropper,0,-2.8283958435058594,1.0,0.0,1,3,full_wrong_svm_right,3,1.0,002d2bbda3ac27092fc428101c74f0bced96e4821522cd7b6638502ac89b8c3c,1,0.6874269528034692,3,3
coinminer,0,-3.090485095977783,1.0,0.2681564245810056,1,68,full_wrong_svm_right,68,1.0,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,16
dropper,1,-6.98437070241198e-05,1.0,0.12637362637362637,1,426,full_right_svm_wrong,426,1.0,0064404263ba3d7acc219b3068780e9ac7f4d78f54d969fc1eb0c89bd5cea027.dat,0,0.4979580281806772,426,16
benign,0,-3.2059507369995117,1.0,0.0,0,13,full_right_svm_wrong,13,1.0,00c7a4e0a370bdf1b9a06cec1a8edb574ac7508b7fa891908f4c4a18da1b9dcd,1,0.5685201672291367,13,13
benign,1,-0.0001976426865439862,1.0,0.17473684210526316,0,122,full_wrong_svm_right,122,1.0,019aa81fd9cabce1d2cbb35aec6b88dc99bb6f5aa91b62aab199e2f1cea3bc64,0,0.47063034089352324,122,16
benign,1,-0.016211021691560745,1.0,0.12868369351669942,0,477,full_wrong_svm_right,477,1.0,027b40d80db67bc8027c44c748214113d031498f0754c28ad504af185b82067d,0,0.3728888552381663,477,16
trojan,0,-5.103302001953125,1.0,0.16687898089171974,1,185,full_wrong_svm_right,185,1.0,03359b2ad09de74d638c415d8c77c2920ebca1824d12ae924ff2784538a566e7,1,0.5827701048425549,185,16
benign,0,-3.2231438159942627,1.0,0.0,0,12,full_right_svm_wrong,12,1.0,0456b271568315200cff28cd20981dd2102740acd8e7d25db1d5e7b7f759b3e6,1,0.5464003542986755,12,12
dropper,0,-3.534658432006836,1.0,0.0,1,2,full_wrong_svm_right,2,1.0,04b6eb921f86f3032ab8fcabcf42ed9632b41ab7d2700eeed2c29f91a05bb2a5,1,0.7017489932378694,2,2
ransomware,0,-4.067847728729248,1.0,0.1907356948228883,1,111,full_wrong_svm_right,111,1.0,04cfe027c699682bd48f382988098d0275f680bc84104d25f1a590ddfa0de897.dat,1,0.7074418316200227,111,16
