api_preview,error_type,family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-2.6787289243657142e-05,1.0,0.15504807692307693,0,226,both_wrong,226,1.0,eed76b40c99a31a6fadacd7c19fb17274d0df1594f26a0bf97cd5e2087431a4c.dat,1,0.5421222621578473,226,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentThreadId | KERNEL32.GetCurrentProcessId | KERNEL32.QueryPerformanceCounter | KERNEL32.IsProcessorFeaturePresent | KERNEL32.LoadLibraryExW | KERNEL32.GetProcAddress | kernel32.InitializeCriticalSectionEx | KERNEL32.LoadLibraryExW | KERNEL32.GetProcAddress | kernel32.FlsAlloc | KERNEL32.GetProcAddress | kernel32.FlsSetValue | KERNEL32.LoadLibraryExW | KERNEL32.GetProcAddress | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx | kernel32.InitializeCriticalSectionEx,FP,benign,1,-3.6589255614671856e-05,1.0,0.1443850267379679,0,345,full_wrong_svm_right,345,1.0,bf92542416719694390b21f6a88b1dec54c621b4f08683e52f89cbe2ddeea6ef,0,0.31569148735087227,345,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-3.675019252113998e-05,1.0,0.14762386248736098,0,238,both_wrong,238,1.0,a37341a4c95283001307ac951fc9df52b4a2f5e7064af1d5642e89b680a8b811,1,0.5500812031107452,238,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoA | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-4.0117061871569604e-05,1.0,0.14112903225806453,0,385,both_wrong,385,1.0,f0cb36e2bc45b8dc36d04b322e4436e942c4fcc433988df90ebd72066f167c7b.dat,1,0.5696686743407009,385,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentThreadId | KERNEL32.GetCurrentProcessId | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.GetProcessHeap | KERNEL32.LoadLibraryW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | kernel32.EncodePointer | kernel32.EncodePointer | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress,FP,benign,1,-4.0886014176066965e-05,1.0,0.2920353982300885,0,73,full_wrong_svm_right,73,1.0,95aa94db9a0251f85c4ea68bc37ce1c683499ee1875d07a008dc08a4ca9aff54.dat,0,0.40039817278751605,73,16
kernel32.GetModuleHandleA | user32.GetKeyboardType | kernel32.GetCommandLineA | kernel32.GetStartupInfoA | kernel32.GetVersion | kernel32.GetVersion | kernel32.GetCurrentThreadId | kernel32.GetModuleFileNameA | kernel32.GetModuleFileNameA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | kernel32.lstrcpynA | kernel32.GetThreadLocale | kernel32.GetLocaleInfoA | user32.LoadStringA | kernel32.InitializeCriticalSection | kernel32.LocalAlloc | kernel32.VirtualAlloc | kernel32.LocalAlloc | kernel32.VirtualAlloc | user32.LoadStringA | user32.LoadStringA | user32.LoadStringA | user32.LoadStringA,FP,benign,1,-4.250340134603903e-05,1.0,0.273542600896861,0,184,both_wrong,184,1.0,2c1c03f2a225242e50cdfb8aba02109eb318bbab7b857824ca69b6c564d42b67.dat,1,0.5669973245861839,184,16
MSVCRT.__set_app_type | MSVCRT.__p__fmode | MSVCRT.__p__commode | MSVCRT._controlfp | MSVCRT._initterm,FP,benign,1,-4.4120406528236344e-05,1.0,0.0,0,5,full_wrong_svm_right,5,1.0,2f7e9f8cd6826f1f2d79cc9588c75e7c1073f38240afaa3d13323a289c481722,0,0.39710956546558035,5,5
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoA | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-4.4783133489545435e-05,1.0,0.13407258064516128,0,326,both_wrong,326,1.0,853a24d993bc3fecc850cefd1168581f04367bd6e5f96a956d8574bc7abbea7a,1,0.534953187279966,326,16
KERNEL32.GetCommandLineW | KERNEL32.lstrcpyW | KERNEL32.GetModuleFileNameW | KERNEL32.lstrlenW | KERNEL32.lstrcmpiW | KERNEL32.lstrcmpiW | KERNEL32.lstrcmpiW,FP,benign,1,-4.4818872993346304e-05,1.0,0.0,0,7,full_wrong_svm_right,7,1.0,709d75db4ca6545f28d60cded902e9512828012bf850fdb396005f98e7b504e7,0,0.48306990409422607,7,7
MSVCRT.__set_app_type | MSVCRT.__p__fmode | MSVCRT.__p__commode | MSVCRT._controlfp | MSVCRT._initterm | MSVCRT.__getmainargs | MSVCRT._initterm | MSVCRT.__p__acmdln | KERNEL32.GetStartupInfoA,FP,benign,1,-4.5275999582372606e-05,1.0,0.0,0,9,full_wrong_svm_right,9,1.0,74f0c1dffff77845f9b0abf57966c2437577ef0067e4e491077283c200d4ee47,0,0.4787024530748142,9,9
