family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
coinminer,1,-0.35226768255233765,1.0,0.16647127784290738,1,246,both_right,246,1.0,00082642a0b9be04934b3e5b7f0aa8a75524679592133c5b02370b29fac22794,1,0.5621424092768946,246,16
benign,0,-5.287532806396484,1.0,0.17891373801916932,0,145,both_right,145,1.0,0008ac09c36a9d430ed9639165a0dcd714878573bed032548246bb5d77b63eff,0,0.3105334277810799,145,16
benign,0,-4.2279863357543945,1.0,0.13128205128205128,0,468,both_right,468,1.0,000fdb30d9b9ccbd4b93910a2b7dd5aff0a6ed90c77191816692d40819261425,0,0.3991766950411659,468,16
backdoor,0,-5.381817817687988,1.0,0.12361111111111112,1,501,both_wrong,501,1.0,00258f212d19453c26ce9b617915d7730d0d20cbfbe385e2cb5e0e3f3f25be34.dat,0,0.3114099887215302,501,16
benign,0,-7.452583312988281,1.0,0.1497844827586207,0,383,both_right,383,1.0,0026b4e56b887f3b0d57d5489a6bd7e63b95cebbf651429069b3f17a6fde9f9a,0,0.2532793010500723,383,16
dropper,0,-2.8283958435058594,1.0,0.0,1,3,full_wrong_svm_right,3,1.0,002d2bbda3ac27092fc428101c74f0bced96e4821522cd7b6638502ac89b8c3c,1,0.6874269528034692,3,3
benign,0,-3.3712799549102783,1.0,0.2560553633217993,0,181,both_right,181,1.0,00397709b124e5014ece2eb31ce0a34176539dd4267fc1a53da5606fad1e93c6,0,0.27346784058418505,181,16
trojan,1,-4.780162271345034e-05,1.0,0.0,1,4,both_right,4,1.0,003aa28414abf29fa716b61ec6d6d13413451730c905ea6ecf5c2b820fb2e59d,1,0.6148048614648265,4,4
coinminer,0,-3.090485095977783,1.0,0.2681564245810056,1,68,full_wrong_svm_right,68,1.0,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,16
benign,0,-6.9117255210876465,1.0,0.29577464788732394,0,40,both_right,40,1.0,0054cc3cc65fc552037ab2cc2093ddfb348610e70555921b7c9ca627aac5fb81,0,0.22106615024521256,40,16
dropper,1,-6.98437070241198e-05,1.0,0.12637362637362637,1,426,full_right_svm_wrong,426,1.0,0064404263ba3d7acc219b3068780e9ac7f4d78f54d969fc1eb0c89bd5cea027.dat,0,0.4979580281806772,426,16
dropper,1,-0.0002462957927491516,1.0,0.0,1,3,both_right,3,1.0,006e18ee15c89e54fba783106e93e30d611de889d7031bea8687b6bdda294971,1,0.6434896112169389,3,3
benign,0,-4.190840721130371,1.0,0.1891891891891892,0,23,both_right,23,1.0,009569084294b10ccbf4c857fe11a7bdcf906a39d3fd78df276cff983b5d265b,0,0.2662319197455097,23,16
coinminer,1,-9.139748726738617e-05,1.0,0.7222222222222222,1,175,both_right,175,1.0,00a17507ad734425e9ac4990245b2a749de982958165924ccff7893a07465603.dat,1,0.6257962787980847,175,16
benign,0,-2.957007884979248,1.0,0.13375295043273014,0,501,both_right,501,1.0,00aa37f035f98f3d3a1be8437c462349def2acdb5cf96e2d628159dfa19f5672,0,0.4430345431118947,501,16
dropper,1,-4.713613088824786e-05,1.0,0.0,1,16,both_right,16,1.0,00c5d95d922e60832578e948fb251c7a978a6d166cd6e15561b3736af685cd07,1,0.7225270137966986,16,16
benign,0,-3.2059507369995117,1.0,0.0,0,13,full_right_svm_wrong,13,1.0,00c7a4e0a370bdf1b9a06cec1a8edb574ac7508b7fa891908f4c4a18da1b9dcd,1,0.5685201672291367,13,13
backdoor,1,-1.4660964012145996,1.0,0.133419689119171,1,501,both_right,501,1.0,00c7fcba0a3348d8e38b6b65a6fd4b74151e60d40e99d53f2afff656891fe619,1,0.6498428950610547,501,16
benign,0,-7.207411766052246,1.0,0.3310344827586207,0,67,both_right,67,1.0,00d330c8b2bc204807198ee0d9d25b9cb94930ef9eef692c10b9d43a4c4e54f3,0,0.2773481977534182,67,16
benign,0,-6.846713066101074,1.0,0.14029180695847362,0,261,both_right,261,1.0,00ec10c966020e691ab552e079a4d95c9b5823c0e5189ce6b558c0f5da5d1bb7.dat,0,0.18878730608073957,261,16
benign,0,-7.231046199798584,1.0,0.15267175572519084,0,224,both_right,224,1.0,00f48d3f10e0a58a6d3f82b84d260bbf74853eff05ad2fffbea3c814841f8b9f.dat,0,0.1906122949164025,224,16
dropper,1,-0.00032519869273528457,1.0,0.13741721854304637,1,390,both_right,390,1.0,015206c0df132eec18a3ec1d2c19b82822e17bf83dc03b9e91d25c775b2791cb,1,0.6952277636197319,390,16
keylogger,1,-4.96453903906513e-05,1.0,0.25806451612903225,1,24,both_right,24,1.0,015a69fa52b047e84ed114cbb0bfcbcdbbe22656c3ea5ca915869267fe4bf50d,1,0.5878284751764882,24,16
backdoor,1,-0.00019673252245411277,1.0,0.12075848303393213,1,395,both_right,395,1.0,015c1ad4c9327a106055b3df9fd30966759715286dbc338d558540e1dcfb27c7,1,0.7076191937839574,395,16
benign,0,-5.997705936431885,1.0,0.14386792452830188,0,349,both_right,349,1.0,01622d77266e89bf0b2a3321dbd0d5584013a67254695ed6837f44071e92ceb7,0,0.2540366127315449,349,16
benign,0,-7.1360015869140625,1.0,0.1631663974151858,0,186,both_right,186,1.0,0178aaaca68f2b07aa2dfeb0852b880902002bfa8615b75ca3ab195062d0b96c.dat,0,0.25638474084368323,186,16
ransomware,1,-6.0089554608566687e-05,1.0,0.0,1,2,both_right,2,1.0,018ce59ad36c530e9045ad69e7b07603427e88d555d6aeb315caf6e823985b98,1,0.5895563203459611,2,2
benign,1,-0.0001976426865439862,1.0,0.17473684210526316,0,122,full_wrong_svm_right,122,1.0,019aa81fd9cabce1d2cbb35aec6b88dc99bb6f5aa91b62aab199e2f1cea3bc64,0,0.47063034089352324,122,16
backdoor,1,-6.59677607472986e-05,1.0,0.1267175572519084,1,367,both_right,367,1.0,01a4bd73871d8b394dc6e5d7f0c5ade34adbbc904971fb341c9e17b89ee39531,1,0.7109485213077189,367,16
benign,0,-7.4903998374938965,1.0,0.0,0,7,both_right,7,1.0,01b1fe1f49b3a8954a6b5cb8b7fe1b516f02a4d8daea375b6363b223a0ddf6e0,0,0.2567485093858681,7,7
benign,0,-5.894382476806641,1.0,0.16727941176470587,0,130,both_right,130,1.0,01d1b075d3f4144356eb970f6e554861884fc5a0da1a95768a5aacec06663373,0,0.3656697576430171,130,16
backdoor,1,-4.705748142441735e-05,1.0,0.1253035454103934,1,451,both_right,451,1.0,020cbe81cb791b5d8778424f82a197d4a3e5021a940b73eb09a03aeb26d57f43,1,0.752370425208598,451,16
