family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
coinminer,0,-2.5037975311279297,0.04065040650406504,0.23809523809523808,1,246,full_wrong_svm_right,10,0.04065040650406504,00082642a0b9be04934b3e5b7f0aa8a75524679592133c5b02370b29fac22794,1,0.5621424092768946,246,5
trojan,0,-0.11237072944641113,1.0,0.0,1,4,full_wrong_svm_right,4,1.0,003aa28414abf29fa716b61ec6d6d13413451730c905ea6ecf5c2b820fb2e59d,1,0.6148048614648265,4,4
coinminer,0,-1.9607048034667969,0.1323529411764706,0.25,1,68,full_wrong_svm_right,9,0.1323529411764706,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,5
backdoor,0,-3.0646920204162598,0.00998003992015968,0.0,1,501,full_wrong_svm_right,5,0.00998003992015968,00c7fcba0a3348d8e38b6b65a6fd4b74151e60d40e99d53f2afff656891fe619,1,0.6498428950610547,501,5
backdoor,0,-3.0646920204162598,0.012658227848101266,0.0,1,395,full_wrong_svm_right,5,0.012658227848101266,015c1ad4c9327a106055b3df9fd30966759715286dbc338d558540e1dcfb27c7,1,0.7076191937839574,395,5
backdoor,0,-3.0646920204162598,0.013623978201634877,0.0,1,367,full_wrong_svm_right,5,0.013623978201634877,01a4bd73871d8b394dc6e5d7f0c5ade34adbbc904971fb341c9e17b89ee39531,1,0.7109485213077189,367,5
backdoor,0,-3.0646920204162598,0.011086474501108648,0.0,1,451,full_wrong_svm_right,5,0.011086474501108648,020cbe81cb791b5d8778424f82a197d4a3e5021a940b73eb09a03aeb26d57f43,1,0.752370425208598,451,5
ransomware,0,-5.617400169372559,0.025559105431309903,0.1875,1,313,full_wrong_svm_right,8,0.025559105431309903,02f100f5bc8a47279e988572bb7174d663e4e8d7a42c1da4dd420d74b506c81c,1,0.6680153489911947,313,5
trojan,0,-5.07474422454834,0.10810810810810811,0.375,1,185,full_wrong_svm_right,20,0.10810810810810811,03359b2ad09de74d638c415d8c77c2920ebca1824d12ae924ff2784538a566e7,1,0.5827701048425549,185,5
benign,1,-0.000865769456140697,0.42857142857142855,0.36363636363636365,0,21,full_wrong_svm_right,9,0.42857142857142855,03e03c6e373095fce3604fe1581d87086cd3df668ae69d85284ec0594291ecf8,0,0.40029437890783326,21,5
benign,0,-4.021536827087402,1.0,0.08196721311475409,0,12,full_right_svm_wrong,12,1.0,0456b271568315200cff28cd20981dd2102740acd8e7d25db1d5e7b7f759b3e6,1,0.5464003542986755,12,2
dropper,1,-0.005644773133099079,1.0,0.25,1,2,full_right_svm_wrong,2,1.0,049983269ab803ebaa1dcb64ddb43a2c4d2d577168db8c76b7b4da647bd353f0,0,0.48149861904857666,2,1
benign,1,-0.001452173455618322,0.35714285714285715,0.0,0,14,full_wrong_svm_right,5,0.35714285714285715,04b89a25ada6cb2456c000bf542f0e0a4ed4132826b229eb0c0aab8e645049f9,0,0.37262908959640817,14,5
ransomware,0,-3.0646920204162598,0.04504504504504504,0.0,1,111,full_wrong_svm_right,5,0.04504504504504504,04cfe027c699682bd48f382988098d0275f680bc84104d25f1a590ddfa0de897.dat,1,0.7074418316200227,111,5
benign,0,-1.1079366207122803,1.0,0.15384615384615385,0,6,full_right_svm_wrong,6,1.0,04d9422fbce50011386ef67f1856085a649932935f928c13bc7efe379ad6e293,1,0.5130886734822794,6,2
trojan,1,-0.0016498133772984147,1.0,0.25,1,2,full_right_svm_wrong,2,1.0,0531f3d4d9925951d8971569ae589c3942d016a31dc4e6f3c72299e4cea3d586,0,0.3594985348517239,2,1
trojan,1,-0.0011854484910145402,0.7333333333333333,0.3076923076923077,1,15,full_right_svm_wrong,11,0.7333333333333333,0538deeda3d5acbc44cc7b067107c321731054568e8438c7e3c209f08dec5989,0,0.4821146537667726,15,5
dropper,0,-4.2452473640441895,0.5555555555555556,0.0,1,9,full_wrong_svm_right,5,0.5555555555555556,057060d77f012b561cbbde7fe2c175ce229a89c45ed1407eb112c27a3687b48d,1,0.7338839285988683,9,5
ransomware,1,-0.001682859263382852,1.0,1.0,1,14,full_right_svm_wrong,14,1.0,07328afa23cacb2c2b78266ca761d2c46b2f671e69cd7f8238d4f36ca779aa32.dat,0,0.3675510747035056,14,1
benign,1,-0.0036548576317727566,1.0,0.25,0,2,full_wrong_svm_right,2,1.0,090deff2570fd6be21d1e9b810c693f628126deb938526729eb03a7052623ead,0,0.48149861904857666,2,1
backdoor,0,-3.738426446914673,0.07142857142857142,0.0,1,70,full_wrong_svm_right,5,0.07142857142857142,09c8ea9f9309517193edbb4a8b5f40cd0642256ae70c1bac5c6d60e34856d0a3,1,0.6003303047308851,70,5
backdoor,1,-0.000133464956888929,1.0,0.2222222222222222,1,3,full_right_svm_wrong,3,1.0,0a5f3912ac00c9030bae4d7cd17aa0829c469c78fe155bb81a620909bd0af10e,0,0.48149861904857666,3,1
backdoor,0,-1.8008514642715454,0.023809523809523808,0.15,1,462,full_wrong_svm_right,11,0.023809523809523808,0b8f23fa1b468ed4af8c2fb371504b57fffcf04f79f266b078a79b41063a2e0a,1,0.722953992583185,462,5
trojan,1,-0.003674236359074712,1.0,0.5,1,3,full_right_svm_wrong,3,1.0,0d8d92b6aa39452c3c7971e3408784b1e6090ef185f751376a0dc20d982f007a,0,0.48149861904857666,3,2
benign,1,-0.0028822352178394794,1.0,0.0,0,2,full_wrong_svm_right,2,1.0,0dd33d1b8c707ec4a5260b01842726817e7194131693394516f9a0541b049fe4,0,0.28081449885589,2,2
trojan,0,-3.0646920204162598,0.012437810945273632,0.0,1,402,full_wrong_svm_right,5,0.012437810945273632,0f22319ea7dc2fc0eb6d7402cefecf65005d05af8160738b64bbc8ab07bd396c,1,0.6163967488613469,402,5
coinminer,0,-3.4804210662841797,0.031055900621118012,0.0,1,161,full_wrong_svm_right,5,0.031055900621118012,0f3662b79a0bc4ca5683e335bbdf4ec01593e86c22f823e0db8f6f51c5fa4239.dat,1,0.5190703388604427,161,5
benign,0,-3.7956371307373047,0.09259259259259259,0.0,0,54,full_right_svm_wrong,5,0.09259259259259259,111427ccdfc0e5253cdeed0fee414e023ced114248935ff03458ad0351433442,1,0.5425971026231623,54,5
benign,0,-3.0646920204162598,0.01,0.0,0,500,full_right_svm_wrong,5,0.01,11be097e2f0f50d9bd69f3c61bdaa05d0dc0d070b3277c4e6527a8dc752aa835,1,0.5364437647653456,500,5
coinminer,0,-3.7956371307373047,0.09803921568627451,0.0,1,51,full_wrong_svm_right,5,0.09803921568627451,12b79fa794c6d857a57c87aac715e32f98bebe84fd2a3bca08ac6be68f4c4339,1,0.6266826861219562,51,5
benign,1,-0.0009071159292943776,1.0,0.8,0,76,full_wrong_svm_right,76,1.0,16560333a5df30391dcad0016222f29e6e51c318a4c8e3173fd60d09319a12d5.dat,0,0.3398851426454882,76,2
keylogger,1,-4.046360481879674e-05,0.32575757575757575,0.4375,1,396,full_right_svm_wrong,129,0.32575757575757575,16b41be6f09a90982f868ea4e834e94168a9ae439893cbdb1ccd75bd38ddfd0c,0,0.3589947257257347,396,5
benign,1,-0.001264914870262146,1.0,0.6923076923076923,0,162,full_wrong_svm_right,162,1.0,1791a5b9d40ee5ee45b481643727cb560aab4a886714a0a1ed41768cdb78ee57.dat,0,0.42614823916514993,162,4
benign,1,-0.02324206754565239,0.17647058823529413,0.125,0,34,full_wrong_svm_right,6,0.17647058823529413,17da04e11321d4c0a73ea403dda8670e8b32fdc98616d9508bf2b23f6c5d97d5,0,0.49309958112881797,34,5
benign,1,-0.00038915450568310916,1.0,1.0,0,9,full_wrong_svm_right,9,1.0,1884e4579fa3919e9f9e387ebe0b00bf18d43cc251474ffb46065e2487546ed0.dat,0,0.33695360404698377,9,1
benign,1,-0.0005755553138442338,0.028985507246376812,0.35714285714285715,0,345,full_wrong_svm_right,10,0.028985507246376812,18b800908c4fb081171e8ff03ad88c84c320e966fcf8ddc2b5abf8a3ce71367f,0,0.41883033967674205,345,5
dropper,0,-3.0646920204162598,0.03125,0.0,1,160,full_wrong_svm_right,5,0.03125,18e19d1335e3bbfa8c315b3ff0031b2cf2363c6d17e62d240c7349ca51e09e58,1,0.6290668181981395,160,5
benign,1,-0.018659032881259918,0.45491803278688525,0.6363636363636364,0,488,full_wrong_svm_right,222,0.45491803278688525,1a47ca72663e09e84550780fc7adbaa838b7c36cbe1c40dbac6e993fdbd5fcdc,0,0.3392114247057712,488,5
benign,1,-0.0010618113446980715,1.0,0.14,0,9,full_wrong_svm_right,9,1.0,1a9de588186d0d42e74ef0b695ea67131da15dec3d0a4b9e55f405079c5525cf,0,0.45988453952461733,9,2
benign,0,-3.7956371307373047,0.1,0.0,0,50,full_right_svm_wrong,5,0.1,1bed059d0ecce00daaaa8b14e328b5efcc6bfded8154eb6fc0762719b1db0229,1,0.567826877803924,50,5
benign,1,-0.0004250099300406873,0.04419889502762431,0.1875,0,181,full_wrong_svm_right,8,0.04419889502762431,1cada1f4b6c55ac874da72ecad395dd6edc2205b7af290a07b6666823769b194.dat,0,0.23501306644331232,181,5
benign,1,-0.00037641258677467704,0.32,0.2727272727272727,0,25,full_wrong_svm_right,8,0.32,20b01ec3445fa2242a325069e916bf601cd52edb4ff6e14bb7e88f5ffe3b3438,0,0.3302714890378481,25,5
dropper,0,-3.738426446914673,0.07246376811594203,0.0,1,69,full_wrong_svm_right,5,0.07246376811594203,2205bcb206107cbcba8a2c340d91224ef2de326931543cdd2683c57b1fc247ee,1,0.6346239349215554,69,5
benign,1,-0.0002336060715606436,1.0,0.14285714285714285,0,8,full_wrong_svm_right,8,1.0,225b7e40f33eb90d69a5770824866889031ec3837f48d420b98c05ee0a159808,0,0.397685789519594,8,1
benign,1,-4.053306474816054e-05,0.289544235924933,0.4375,0,373,full_wrong_svm_right,108,0.289544235924933,22e328ac7ee015d205cf80a6fe165a8a84ff2564d415a5350111144af51b88ce,0,0.30005957675190775,373,5
benign,0,-2.5602798461914062,0.04145077720207254,0.1875,0,193,full_right_svm_wrong,8,0.04145077720207254,2570916c5491ca75270ba854d82a85ebcb93a527c77e9cdcf53a8fabcc3367ce,1,0.6793730047987094,193,5
benign,0,-3.0646920204162598,0.00998003992015968,0.0,0,501,full_right_svm_wrong,5,0.00998003992015968,275c51f2e66d5c0558a48a6ba2aa28649e03a5f60f9b1363589d6363a80ddcf8,1,0.5110336882713691,501,5
