api_preview,error_type,family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
KERNEL32.LoadLibraryA | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress,FP,benign,1,-4.053306474816054e-05,0.289544235924933,0.4375,0,373,full_wrong_svm_right,108,0.289544235924933,22e328ac7ee015d205cf80a6fe165a8a84ff2564d415a5350111144af51b88ce,0,0.30005957675190775,373,5
kernel32.GetModuleHandleA | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress,FP,benign,1,-8.237025031121448e-05,1.0,0.5,0,4,full_wrong_svm_right,4,1.0,390eddf33e5358274f4be2bdaaf9f70724b3c11a86288a4c897a2d2c2a432e37,0,0.41797833906393217,4,2
kernel32.GetModuleHandleA | kernel32.GetProcAddress | kernel32.GetProcAddress,FP,benign,1,-8.244477794505656e-05,1.0,0.5,0,3,full_wrong_svm_right,3,1.0,2d1b8e725166423ba6efe9e1060c5a9f7ff6e47e10f844c5bc2db924a42e4c46,0,0.3967146140391303,3,2
kernel32.GetModuleHandleA | kernel32.GetCommandLineA | kernel32.GetModuleHandleA | kernel32.GetVersion | kernel32.GetProcAddress | kernel32.SetDefaultDllDirectories,FP,benign,1,-0.00011103608267148957,0.8333333333333334,0.0,0,6,full_wrong_svm_right,5,0.8333333333333334,b6ca950de0bea24350794bfc68b8a430bf8d4388b3da78c6d9ac3cad54a7a531,0,0.32564115299410856,6,5
KERNEL32.GetModuleFileNameW | KERNEL32.GetFileAttributesW | KERNEL32.CreateFileW,FP,benign,1,-0.0001237771357409656,1.0,0.2,0,3,full_wrong_svm_right,3,1.0,c8e569d5f5aeed72cfe9a2b4a944ee4c0e926fcc3c83bd7c350c57ba93731d98,0,0.31691609092157436,3,2
ntoskrnl.EtwRegister | ntoskrnl.RtlInitUnicodeString,FP,benign,1,-0.00015474787505809218,1.0,0.25,0,2,full_wrong_svm_right,2,1.0,62b30b7e259ed00635ed11e66fbea2235ad6bf184edc6c5dc1231a796ee6e387.dat,0,0.3344632799350956,2,1
kernel32.GetModuleHandleA | kernel32.GetProcessHeap | kernel32.GetCurrentThreadId,FP,benign,1,-0.00015770549362059683,1.0,0.2,0,3,both_wrong,3,1.0,809da9a7f85e11319c691b0f6258c2f7bc99716393883d15af662bddf708a15d,1,0.6164784079542163,3,2
kernel32.GetModuleHandleA | user32.GetKeyboardType | kernel32.GetCommandLineA | kernel32.GetStartupInfoA | kernel32.GetVersion | kernel32.GetVersion | kernel32.GetCurrentThreadId | kernel32.LoadLibraryA | kernel32.GetModuleFileNameA | kernel32.GetEnvironmentVariableA | kernel32.GetModuleFileNameA | kernel32.InitializeCriticalSection | kernel32.LocalAlloc | kernel32.VirtualAlloc | kernel32.LocalAlloc | kernel32.VirtualAlloc | kernel32.VirtualFree | kernel32.VirtualFree | kernel32.FindResourceA | kernel32.GetModuleFileNameA | kernel32.GetModuleFileNameA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | kernel32.lstrcpynA,FP,benign,1,-0.00018533243564888835,0.01603206412825651,0.2727272727272727,0,499,full_wrong_svm_right,8,0.01603206412825651,a40a5716bbc1004812d956cd95e2710325e000980d98c25ddefb368e12c32b4c,0,0.41738121828948255,499,5
kernel32.GetModuleHandleA | user32.GetKeyboardType | kernel32.GetCommandLineA | kernel32.GetStartupInfoA | kernel32.GetVersion | kernel32.GetVersion | kernel32.GetCurrentThreadId | kernel32.LoadLibraryA | kernel32.GetProcAddress | kernel32.VirtualProtect | kernel32.VirtualProtect | kernel32.GetCurrentProcess | kernel32.FlushInstructionCache | kernel32.GetDiskFreeSpaceA,FP,benign,1,-0.00018533243564888835,0.5714285714285714,0.2727272727272727,0,14,both_wrong,8,0.5714285714285714,c49cc2e95a955ad04542d5fbcea2ba2ea75d02a25ca47bfcafef6405d72b04f5,1,0.6027967638845463,14,5
kernel32.GetModuleHandleA | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.VirtualAlloc | kernel32.VirtualAlloc | kernel32.VirtualFree | kernel32.VirtualAlloc | kernel32.VirtualFree | kernel32.VirtualAlloc | kernel32.VirtualFree | kernel32.VirtualAlloc | kernel32.VirtualFree | kernel32.VirtualFree | kernel32.GetModuleHandleA | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress | kernel32.GetProcAddress,FP,benign,1,-0.00019019516184926033,0.0449438202247191,0.375,0,178,both_wrong,8,0.0449438202247191,7ee1e0ada02180e52df573e11b7ff0376d00142a143743bffa710a790910c2a0,1,0.5834677224952711,178,5
