family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
coinminer,0,-2.5037975311279297,0.04065040650406504,0.23809523809523808,1,246,full_wrong_svm_right,10,0.04065040650406504,00082642a0b9be04934b3e5b7f0aa8a75524679592133c5b02370b29fac22794,1,0.5621424092768946,246,5
benign,0,-1.9607048034667969,0.06206896551724138,0.25,0,145,both_right,9,0.06206896551724138,0008ac09c36a9d430ed9639165a0dcd714878573bed032548246bb5d77b63eff,0,0.3105334277810799,145,5
benign,0,-5.142074108123779,0.010683760683760684,0.0,0,468,both_right,5,0.010683760683760684,000fdb30d9b9ccbd4b93910a2b7dd5aff0a6ed90c77191816692d40819261425,0,0.3991766950411659,468,5
backdoor,0,-3.0646920204162598,0.00998003992015968,0.0,1,501,both_wrong,5,0.00998003992015968,00258f212d19453c26ce9b617915d7730d0d20cbfbe385e2cb5e0e3f3f25be34.dat,0,0.3114099887215302,501,5
benign,0,-5.617400169372559,0.020887728459530026,0.1875,0,383,both_right,8,0.020887728459530026,0026b4e56b887f3b0d57d5489a6bd7e63b95cebbf651429069b3f17a6fde9f9a,0,0.2532793010500723,383,5
dropper,1,-0.000788450357504189,1.0,0.0,1,3,both_right,3,1.0,002d2bbda3ac27092fc428101c74f0bced96e4821522cd7b6638502ac89b8c3c,1,0.6874269528034692,3,3
benign,0,-12.40794563293457,0.04419889502762431,0.2727272727272727,0,181,both_right,8,0.04419889502762431,00397709b124e5014ece2eb31ce0a34176539dd4267fc1a53da5606fad1e93c6,0,0.27346784058418505,181,5
trojan,0,-0.11237072944641113,1.0,0.0,1,4,full_wrong_svm_right,4,1.0,003aa28414abf29fa716b61ec6d6d13413451730c905ea6ecf5c2b820fb2e59d,1,0.6148048614648265,4,4
coinminer,0,-1.9607048034667969,0.1323529411764706,0.25,1,68,full_wrong_svm_right,9,0.1323529411764706,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,5
benign,0,-5.617400169372559,0.2,0.1875,0,40,both_right,8,0.2,0054cc3cc65fc552037ab2cc2093ddfb348610e70555921b7c9ca627aac5fb81,0,0.22106615024521256,40,5
dropper,0,-3.0646920204162598,0.011737089201877934,0.0,1,426,both_wrong,5,0.011737089201877934,0064404263ba3d7acc219b3068780e9ac7f4d78f54d969fc1eb0c89bd5cea027.dat,0,0.4979580281806772,426,5
dropper,1,-0.0015010630013421178,1.0,0.2222222222222222,1,3,both_right,3,1.0,006e18ee15c89e54fba783106e93e30d611de889d7031bea8687b6bdda294971,1,0.6434896112169389,3,1
benign,0,-5.617400169372559,0.34782608695652173,0.1875,0,23,both_right,8,0.34782608695652173,009569084294b10ccbf4c857fe11a7bdcf906a39d3fd78df276cff983b5d265b,0,0.2662319197455097,23,5
coinminer,1,-0.0014206285122781992,1.0,0.5555555555555556,1,175,both_right,175,1.0,00a17507ad734425e9ac4990245b2a749de982958165924ccff7893a07465603.dat,1,0.6257962787980847,175,4
benign,0,-3.0646920204162598,0.00998003992015968,0.0,0,501,both_right,5,0.00998003992015968,00aa37f035f98f3d3a1be8437c462349def2acdb5cf96e2d628159dfa19f5672,0,0.4430345431118947,501,5
dropper,1,-0.0009788050083443522,1.0,0.13131313131313133,1,16,both_right,16,1.0,00c5d95d922e60832578e948fb251c7a978a6d166cd6e15561b3736af685cd07,1,0.7225270137966986,16,3
benign,1,-0.0027658415492624044,0.8461538461538461,0.15,0,13,both_wrong,11,0.8461538461538461,00c7a4e0a370bdf1b9a06cec1a8edb574ac7508b7fa891908f4c4a18da1b9dcd,1,0.5685201672291367,13,5
backdoor,0,-3.0646920204162598,0.00998003992015968,0.0,1,501,full_wrong_svm_right,5,0.00998003992015968,00c7fcba0a3348d8e38b6b65a6fd4b74151e60d40e99d53f2afff656891fe619,1,0.6498428950610547,501,5
benign,0,-3.4804210662841797,0.07462686567164178,0.0,0,67,both_right,5,0.07462686567164178,00d330c8b2bc204807198ee0d9d25b9cb94930ef9eef692c10b9d43a4c4e54f3,0,0.2773481977534182,67,5
benign,0,-7.298158168792725,0.022988505747126436,0.125,0,261,both_right,6,0.022988505747126436,00ec10c966020e691ab552e079a4d95c9b5823c0e5189ce6b558c0f5da5d1bb7.dat,0,0.18878730608073957,261,5
benign,0,-5.617400169372559,0.03571428571428571,0.1875,0,224,both_right,8,0.03571428571428571,00f48d3f10e0a58a6d3f82b84d260bbf74853eff05ad2fffbea3c814841f8b9f.dat,0,0.1906122949164025,224,5
dropper,1,-3.0420236726058647e-05,0.17692307692307693,0.375,1,390,both_right,69,0.17692307692307693,015206c0df132eec18a3ec1d2c19b82822e17bf83dc03b9e91d25c775b2791cb,1,0.6952277636197319,390,5
keylogger,1,-0.00018861604621633887,0.375,0.375,1,24,both_right,9,0.375,015a69fa52b047e84ed114cbb0bfcbcdbbe22656c3ea5ca915869267fe4bf50d,1,0.5878284751764882,24,5
backdoor,0,-3.0646920204162598,0.012658227848101266,0.0,1,395,full_wrong_svm_right,5,0.012658227848101266,015c1ad4c9327a106055b3df9fd30966759715286dbc338d558540e1dcfb27c7,1,0.7076191937839574,395,5
benign,0,-3.0646920204162598,0.014326647564469915,0.0,0,349,both_right,5,0.014326647564469915,01622d77266e89bf0b2a3321dbd0d5584013a67254695ed6837f44071e92ceb7,0,0.2540366127315449,349,5
benign,0,-5.617400169372559,0.043010752688172046,0.1875,0,186,both_right,8,0.043010752688172046,0178aaaca68f2b07aa2dfeb0852b880902002bfa8615b75ca3ab195062d0b96c.dat,0,0.25638474084368323,186,5
ransomware,1,-0.00010787071369122714,1.0,1.0,1,2,both_right,2,1.0,018ce59ad36c530e9045ad69e7b07603427e88d555d6aeb315caf6e823985b98,1,0.5895563203459611,2,1
benign,0,-3.0646920204162598,0.040983606557377046,0.0,0,122,both_right,5,0.040983606557377046,019aa81fd9cabce1d2cbb35aec6b88dc99bb6f5aa91b62aab199e2f1cea3bc64,0,0.47063034089352324,122,5
backdoor,0,-3.0646920204162598,0.013623978201634877,0.0,1,367,full_wrong_svm_right,5,0.013623978201634877,01a4bd73871d8b394dc6e5d7f0c5ade34adbbc904971fb341c9e17b89ee39531,1,0.7109485213077189,367,5
benign,0,-6.786602020263672,1.0,0.2,0,7,both_right,7,1.0,01b1fe1f49b3a8954a6b5cb8b7fe1b516f02a4d8daea375b6363b223a0ddf6e0,0,0.2567485093858681,7,4
benign,0,-3.0646920204162598,0.038461538461538464,0.0,0,130,both_right,5,0.038461538461538464,01d1b075d3f4144356eb970f6e554861884fc5a0da1a95768a5aacec06663373,0,0.3656697576430171,130,5
backdoor,0,-3.0646920204162598,0.011086474501108648,0.0,1,451,full_wrong_svm_right,5,0.011086474501108648,020cbe81cb791b5d8778424f82a197d4a3e5021a940b73eb09a03aeb26d57f43,1,0.752370425208598,451,5
benign,0,-5.617400169372559,0.055944055944055944,0.1875,0,143,both_right,8,0.055944055944055944,022087b44d7cfaddb3f3e773f8cda1acf497e7b4cb9787c4b6a1ed17dcbc98cd,0,0.22264550367290925,143,5
benign,0,-1.4402638673782349,1.0,0.0,0,3,both_right,3,1.0,025f30c6226822a6c271882fee887303d52eb9ba1936676dbb014db52ec59347,0,0.24432888628177618,3,3
benign,0,-5.617400169372559,0.1095890410958904,0.1875,0,73,both_right,8,0.1095890410958904,0263c0d1ec081052d10aa9da80955a4899e8cd956e2e5f48e427231f65fea897.dat,0,0.19659985921614934,73,5
benign,0,-5.617400169372559,0.016771488469601678,0.1875,0,477,both_right,8,0.016771488469601678,027b40d80db67bc8027c44c748214113d031498f0754c28ad504af185b82067d,0,0.3728888552381663,477,5
benign,0,-2.5037975311279297,0.055865921787709494,0.23809523809523808,0,179,both_right,10,0.055865921787709494,029b6b1c24b681bcd57121c8fae6b82b52a299045e569f0459de6f253c7795a1.dat,0,0.3857931149657845,179,5
benign,0,-5.617400169372559,0.02318840579710145,0.1875,0,345,both_right,8,0.02318840579710145,029b9c0f671d7dfdfc4fea7157cefdc5dbfe26e5a904e6872a9e9327f4f9ba78,0,0.27005000965043946,345,5
benign,0,-1.4117317199707031,0.04090909090909091,0.2857142857142857,0,220,both_right,9,0.04090909090909091,02bfe3d5f69028a0288992b81755ff7720456088bd919c33641c7b1663932402,0,0.3574370105346546,220,5
benign,0,-5.07474422454834,0.0970873786407767,0.375,0,206,both_right,20,0.0970873786407767,02c1ab3fefd2f2d82aca8a949356c4cae5266aeef1965611bbd247a77b792657,0,0.30701723572819467,206,5
ransomware,1,-6.87338542775251e-05,1.0,0.25,1,2,both_right,2,1.0,02e8511d9562935fd818d9c273f43b82a6483bdd7194ce36d0cbc005a67605c0,1,0.7434000200153222,2,1
benign,0,-5.617400169372559,0.016985138004246284,0.1875,0,471,both_right,8,0.016985138004246284,02e8d208557db8f2b657cdd1e6a803bc1b2be58edceb2974ccaa8afbbd111311,0,0.28155492246864794,471,5
ransomware,0,-5.617400169372559,0.025559105431309903,0.1875,1,313,full_wrong_svm_right,8,0.025559105431309903,02f100f5bc8a47279e988572bb7174d663e4e8d7a42c1da4dd420d74b506c81c,1,0.6680153489911947,313,5
ransomware,0,-5.617400169372559,0.03463203463203463,0.1875,1,231,both_wrong,8,0.03463203463203463,02f242dee37df09b03488c48a281f203498e839b01643c1f1cec18df8dc96793.dat,0,0.38422293253292006,231,5
benign,0,-5.617400169372559,0.017204301075268817,0.1875,0,465,both_right,8,0.017204301075268817,030c3e9c4dfdf8d4b408fd14ff6800a208d8186f9c69815d16930f57294114d7,0,0.2684453627973377,465,5
benign,0,-3.0646920204162598,0.00998003992015968,0.0,0,501,both_right,5,0.00998003992015968,031d26a99280bafe7da1fc289f1e7c80e8e390d1ec137be46e8542337be2305f.dat,0,0.4113493796547093,501,5
ransomware,1,-0.0001677723485045135,1.0,0.25,1,2,both_right,2,1.0,0330692c64953bb19ac39b280458654185a9848b48b4e980335db4c0c33f517d,1,0.734355068964464,2,1
trojan,0,-5.07474422454834,0.10810810810810811,0.375,1,185,full_wrong_svm_right,20,0.10810810810810811,03359b2ad09de74d638c415d8c77c2920ebca1824d12ae924ff2784538a566e7,1,0.5827701048425549,185,5
benign,0,-7.298158168792725,0.02127659574468085,0.125,0,282,both_right,6,0.02127659574468085,0342afbad0d0ae5303804a0e2aa05e20ac82ad744e25f169f076f1742316375d,0,0.17975646517861182,282,5
trojan,1,-9.845095337368548e-05,1.0,0.2222222222222222,1,5,both_right,5,1.0,0345ea2281fb8dde2bb6a0f15c401f3fba1c5fa7c6fd00bc0b223074a94a95d9.dat,1,0.5488473745940938,5,3
benign,0,-5.142074108123779,0.0176678445229682,0.0,0,283,both_right,5,0.0176678445229682,034f09896cbd892de7ee099f1682716d8d81150ca4c1865bfad2b2ef4483e1b5,0,0.3158827479795118,283,5
benign,0,-5.617400169372559,0.023880597014925373,0.1875,0,335,both_right,8,0.023880597014925373,03509e128f3c44a48a57eabec5f472f79ee691ad628c6c92ad5e1fb6e0c81586.dat,0,0.2550338617599193,335,5
benign,0,-3.7920048236846924,0.03355704697986577,0.23076923076923078,0,298,both_right,10,0.03355704697986577,03c0010d65e0b8a8de249a74f367a4125e650e6aa321046006bb0a2612116349,0,0.2664314309118298,298,5
benign,1,-0.000865769456140697,0.42857142857142855,0.36363636363636365,0,21,full_wrong_svm_right,9,0.42857142857142855,03e03c6e373095fce3604fe1581d87086cd3df668ae69d85284ec0594291ecf8,0,0.40029437890783326,21,5
benign,0,-4.021536827087402,1.0,0.08196721311475409,0,12,full_right_svm_wrong,12,1.0,0456b271568315200cff28cd20981dd2102740acd8e7d25db1d5e7b7f759b3e6,1,0.5464003542986755,12,2
