scope,measure,before,after,delta
overall,accuracy,0.8562814070351759,0.8391959798994975,-0.0170854271356784
overall,precision,0.68561872909699,0.6477987421383647,-0.03781998695862521
overall,recall,0.8070866141732284,0.8110236220472441,0.003937007874015741
overall,f1,0.7414104882459313,0.7202797202797203,-0.02113076796621094
overall,auc,0.9005865663553189,0.8497933203693667,-0.05079324598595214
overall,retained_call_median_coverage,1.0,1.0,0.0
overall,false_positives,94,112,18.0
overall,false_negatives,49,48,-1.0
family:backdoor,recall,0.8,0.8,0.0
family:coinminer,recall,0.625,0.5416666666666666,-0.08333333333333337
family:dropper,recall,0.7142857142857143,0.7142857142857143,0.0
family:keylogger,recall,0.7333333333333333,0.6,-0.1333333333333333
family:ransomware,recall,0.9396551724137931,0.9482758620689655,0.008620689655172376
family:rat,recall,0.5,0.6666666666666666,0.16666666666666663
family:trojan,recall,0.717948717948718,0.7692307692307693,0.05128205128205132
