api_preview,error_type,family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
kernel32.GetModuleHandleA | user32.GetKeyboardType | kernel32.GetCommandLineA | kernel32.GetStartupInfoA | kernel32.GetCurrentThreadId | kernel32.InitializeCriticalSection | kernel32.GetProcAddress | kernel32.GetVersion | kernel32.GetTempPathW | oleaut32.SysAllocStringLen | user32.MessageBoxA | kernel32.DeleteCriticalSection | kernel32.DeleteCriticalSection | kernel32.DeleteCriticalSection | kernel32.ExitProcess,FP,benign,1,-0.00024354497145395726,1.0,0.0,0,15,full_wrong_svm_right,15,1.0,5647065f91a5291ec3ef5a510463fe2a052a3b8fc2f498dd96a073adb0c348d0,0,0.33696920983413836,15,15
kernel32.GetModuleHandleA | user32.GetKeyboardType | kernel32.GetCommandLineA | kernel32.GetStartupInfoA | kernel32.GetVersion | kernel32.GetVersion | kernel32.GetCurrentThreadId | kernel32.GetModuleFileNameA | kernel32.GetModuleFileNameA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | advapi32.RegOpenKeyExA | kernel32.lstrcpynA | kernel32.GetThreadLocale | kernel32.GetLocaleInfoA | user32.LoadStringA | kernel32.InitializeCriticalSection | kernel32.LocalAlloc | kernel32.VirtualAlloc | kernel32.LocalAlloc | kernel32.VirtualAlloc | user32.LoadStringA | user32.LoadStringA | user32.LoadStringA | user32.LoadStringA,FP,benign,1,-0.00027628036332316697,1.0,0.273542600896861,0,184,both_wrong,184,1.0,2c1c03f2a225242e50cdfb8aba02109eb318bbab7b857824ca69b6c564d42b67.dat,1,0.5669973245861839,184,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapSetInformation | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount,FP,benign,1,-0.00030914932722225785,1.0,0.20118343195266272,0,98,full_wrong_svm_right,98,1.0,7a7da9b70242845490393c0abe3b4ecd1ef5ed713d98d141f91f38dfcac03a43,0,0.28825493179430217,98,16
KERNEL32.InitializeCriticalSection | KERNEL32.AddVectoredExceptionHandler | KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | msvcrt._initterm | msvcrt._initterm | KERNEL32.VirtualQuery | KERNEL32.SetUnhandledExceptionFilter | msvcrt.malloc | KERNEL32.GetModuleHandleA | msvcrt.calloc | msvcrt.malloc | msvcrt.calloc | msvcrt.malloc | KERNEL32.TlsAlloc | msvcrt.free | msvcrt.free | KERNEL32.TlsGetValue | msvcrt.malloc | KERNEL32.GetCurrentThreadId | msvcrt.calloc | msvcrt.malloc,FP,benign,1,-0.000338424404617399,1.0,0.2360248447204969,0,54,both_wrong,54,1.0,111427ccdfc0e5253cdeed0fee414e023ced114248935ff03458ad0351433442,1,0.5425971026231623,54,16
MSVCRT.__set_app_type | MSVCRT.__p__fmode | MSVCRT.__p__commode | MSVCRT._controlfp | MSVCRT._initterm | MSVCRT.__getmainargs | MSVCRT._initterm | KERNEL32.GetStartupInfoA | KERNEL32.GetModuleHandleA | ole32.OleInitialize | KERNEL32.LoadLibraryA | ole32.StringFromGUID2 | MSVCRT.wcstombs | MSVCRT.strcat | MSVCRT.strcat | ADVAPI32.RegQueryValueA | MSVCRT.strcpy | MSVCRT.strcat | KERNEL32.GetEnvironmentVariableA | MSVCRT.strlen | MSVCRT.??2@YAPAXI@Z | MSVCRT.strcpy,FP,benign,1,-0.0003477903374005109,1.0,0.17647058823529413,0,22,both_wrong,22,1.0,56d172696f53062100725c259f78b3290c1cc19e7465fa32f00533575cb66426,1,0.5224460098017092,22,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapSetInformation | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount | KERNEL32.InitializeCriticalSectionAndSpinCount,FP,benign,1,-0.0003564226208254695,1.0,0.16005665722379603,0,157,both_wrong,157,1.0,a896c4b8488ce737474b5addcc906ff33e344ee32bb77eb3da014af12dd63604,1,0.5463700728941708,157,16
KERNEL32.GetVersion | KERNEL32.HeapCreate | KERNEL32.GetVersionExA | KERNEL32.InitializeCriticalSection | KERNEL32.InitializeCriticalSection | KERNEL32.InitializeCriticalSection | KERNEL32.InitializeCriticalSection | KERNEL32.TlsAlloc | KERNEL32.HeapAlloc | KERNEL32.TlsSetValue | KERNEL32.GetCurrentThreadId | KERNEL32.HeapAlloc | KERNEL32.GetStartupInfoA | KERNEL32.GetStdHandle | KERNEL32.GetFileType | KERNEL32.GetStdHandle | KERNEL32.GetFileType | KERNEL32.GetStdHandle | KERNEL32.GetFileType | KERNEL32.SetHandleCount | KERNEL32.GetCommandLineA | KERNEL32.GetEnvironmentStringsW | KERNEL32.WideCharToMultiByte | KERNEL32.HeapAlloc | KERNEL32.WideCharToMultiByte,FP,benign,1,-0.0003694510960485786,1.0,0.16897856242118536,0,205,full_wrong_svm_right,205,1.0,d88b4f807d0b5ea732dab3a705e41e3f14ca4fb6bc616ba2a0bbc6e1761d6596,0,0.4626834114971289,205,16
KERNEL32.GetVersionExA | KERNEL32.GetModuleHandleA | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleA | KERNEL32.GetProcAddress | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | kernel32.InitializeCriticalSectionAndSpinCount | KERNEL32.GetModuleHandleA | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | kernel32.FlsAlloc,FP,benign,1,-0.0003886902122758329,1.0,0.18823529411764706,0,217,both_wrong,217,1.0,901881bd33bb24c92784ab501d73c6f6c8413d3bd45cb788442107b135834054,1,0.5075534941920894,217,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-0.00040584069211035967,1.0,0.15504807692307693,0,226,both_wrong,226,1.0,eed76b40c99a31a6fadacd7c19fb17274d0df1594f26a0bf97cd5e2087431a4c.dat,1,0.5421222621578473,226,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,-0.0004175763460807502,1.0,0.14762386248736098,0,238,both_wrong,238,1.0,a37341a4c95283001307ac951fc9df52b4a2f5e7064af1d5642e89b680a8b811,1,0.5500812031107452,238,16
