accuracy,correct,family,malware_support,method,recall,support
0.65,13,backdoor,20,full,0.65,20
0.8,16,backdoor,20,svm,0.8,20
0.9446693657219973,700,benign,0,full,,741
0.9433198380566802,699,benign,0,svm,,741
0.3333333333333333,8,coinminer,24,full,0.3333333333333333,24
0.7083333333333334,17,coinminer,24,svm,0.7083333333333334,24
0.6071428571428571,17,dropper,28,full,0.6071428571428571,28
0.6785714285714286,19,dropper,28,svm,0.6785714285714286,28
0.6666666666666666,10,keylogger,15,full,0.6666666666666666,15
0.6,9,keylogger,15,svm,0.6,15
0.9482758620689655,110,ransomware,116,full,0.9482758620689655,116
0.9396551724137931,109,ransomware,116,svm,0.9396551724137931,116
0.16666666666666666,2,rat,12,full,0.16666666666666666,12
0.4166666666666667,5,rat,12,svm,0.4166666666666667,12
0.5384615384615384,21,trojan,39,full,0.5384615384615384,39
0.8205128205128205,32,trojan,39,svm,0.8205128205128205,39
