scope,measure,before,after,delta
overall,accuracy,0.8562814070351759,0.8854271356783919,0.029145728643216073
overall,precision,0.68561872909699,0.8153153153153153,0.12969658621832536
overall,recall,0.8070866141732284,0.7125984251968503,-0.09448818897637801
overall,f1,0.7414104882459313,0.7605042016806722,0.019093713434740978
overall,auc,0.9005865663553189,0.8974013622791079,-0.0031852040762109235
overall,retained_call_median_coverage,1.0,1.0,0.0
overall,false_positives,94,41,-53.0
overall,false_negatives,49,73,24.0
family:backdoor,recall,0.8,0.65,-0.15000000000000002
family:coinminer,recall,0.625,0.3333333333333333,-0.2916666666666667
family:dropper,recall,0.7142857142857143,0.6071428571428571,-0.1071428571428572
family:keylogger,recall,0.7333333333333333,0.6666666666666666,-0.06666666666666665
family:ransomware,recall,0.9396551724137931,0.9482758620689655,0.008620689655172376
family:rat,recall,0.5,0.16666666666666666,-0.33333333333333337
family:trojan,recall,0.717948717948718,0.5384615384615384,-0.17948717948717952
