family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
coinminer,0,0.5243896245956421,1.0,0.16647127784290738,1,246,full_wrong_svm_right,246,1.0,00082642a0b9be04934b3e5b7f0aa8a75524679592133c5b02370b29fac22794,1,0.5621424092768946,246,16
benign,1,0.9963893890380859,1.0,0.17891373801916932,0,145,full_wrong_svm_right,145,1.0,0008ac09c36a9d430ed9639165a0dcd714878573bed032548246bb5d77b63eff,0,0.3105334277810799,145,16
coinminer,0,0.0016101258806884289,1.0,0.2681564245810056,1,68,full_wrong_svm_right,68,1.0,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,16
dropper,1,0.9997192025184631,1.0,0.12637362637362637,1,426,full_right_svm_wrong,426,1.0,0064404263ba3d7acc219b3068780e9ac7f4d78f54d969fc1eb0c89bd5cea027.dat,0,0.4979580281806772,426,16
benign,0,0.00797848217189312,1.0,0.0,0,13,full_right_svm_wrong,13,1.0,00c7a4e0a370bdf1b9a06cec1a8edb574ac7508b7fa891908f4c4a18da1b9dcd,1,0.5685201672291367,13,13
trojan,0,0.00045903472346253693,1.0,0.16687898089171974,1,185,full_wrong_svm_right,185,1.0,03359b2ad09de74d638c415d8c77c2920ebca1824d12ae924ff2784538a566e7,1,0.5827701048425549,185,16
benign,0,0.000247394636971876,1.0,0.0,0,12,full_right_svm_wrong,12,1.0,0456b271568315200cff28cd20981dd2102740acd8e7d25db1d5e7b7f759b3e6,1,0.5464003542986755,12,12
ransomware,0,4.097374403499998e-05,1.0,0.1907356948228883,1,111,full_wrong_svm_right,111,1.0,04cfe027c699682bd48f382988098d0275f680bc84104d25f1a590ddfa0de897.dat,1,0.7074418316200227,111,16
benign,0,3.2716492569306865e-05,1.0,0.0,0,6,full_right_svm_wrong,6,1.0,04d9422fbce50011386ef67f1856085a649932935f928c13bc7efe379ad6e293,1,0.5130886734822794,6,6
trojan,1,0.9974597096443176,1.0,0.0,1,2,full_right_svm_wrong,2,1.0,0531f3d4d9925951d8971569ae589c3942d016a31dc4e6f3c72299e4cea3d586,0,0.3594985348517239,2,2
