api_preview,error_type,family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,0.9999659061431885,1.0,0.1436651583710407,0,486,full_wrong_svm_right,486,1.0,4d1116caea2c4f2b8f98a1038db6343e85bc0fe9e966bd05ab1e13836bb78d16.dat,0,0.5044915720618672,486,16
KERNEL32.InitializeCriticalSection | msvcrt._initterm | msvcrt._initterm | KERNEL32.SetUnhandledExceptionFilter | msvcrt.__p__acmdln | msvcrt.malloc | KERNEL32.GetModuleHandleA | KERNEL32.CreateSemaphoreW | msvcrt._onexit | msvcrt._onexit | msvcrt._onexit | KERNEL32.TlsAlloc | msvcrt.calloc | KERNEL32.EnterCriticalSection | KERNEL32.LeaveCriticalSection | msvcrt._onexit | KERNEL32.CreateSemaphoreW | msvcrt.malloc | msvcrt._onexit | msvcrt.strlen | msvcrt.malloc | msvcrt.memcpy | msvcrt._onexit | msvcrt.strlen | msvcrt._onexit,FP,benign,1,0.999941349029541,1.0,0.27058823529411763,0,502,full_wrong_svm_right,502,1.0,cbcfce4c6553f76e53073372774fa557bcf1e2b67e91f23406005e2f69a6acaa,0,0.45973891028277514,502,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,0.9999370574951172,1.0,0.14614499424626007,0,486,full_wrong_svm_right,486,1.0,abd2c9fc9676dc637268d23e96c56c79f75489f88a8034c575e628cd498b4d53,0,0.5027291679101871,486,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentThreadId | KERNEL32.GetCurrentProcessId | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.GetProcessHeap | KERNEL32.EncodePointer | KERNEL32.EncodePointer | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress,FP,benign,1,0.9999268054962158,1.0,0.156,0,236,full_wrong_svm_right,236,1.0,53c8131388f735f4872be6230ddade7d51d67303cf59ef2a930e7300d200d80e,0,0.3955916393977073,236,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer,FP,benign,1,0.9999263286590576,1.0,0.14018691588785046,0,501,both_wrong,501,1.0,275c51f2e66d5c0558a48a6ba2aa28649e03a5f60f9b1363589d6363a80ddcf8,1,0.5110336882713691,501,16
KERNEL32.LoadLibraryA | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress,FP,benign,1,0.9999194145202637,1.0,0.1853146853146853,0,403,both_wrong,403,1.0,109ea6aff420d53ae44fcf0eb8ede9712b74c532f0c4fd4dc8cab2bf4dcaf8d7,1,0.5867704677596898,403,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,0.9999133348464966,1.0,0.14414414414414414,0,487,full_wrong_svm_right,487,1.0,eacd789da9c86be3a6947cf9dd4ae29ac39e131224b960847b3f396967bc35ad,0,0.43499379723469805,487,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentThreadId | KERNEL32.GetCurrentProcessId | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.GetProcessHeap | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress,FP,benign,1,0.999893069267273,1.0,0.15730337078651685,0,193,both_wrong,193,1.0,2570916c5491ca75270ba854d82a85ebcb93a527c77e9cdcf53a8fabcc3367ce,1,0.6793730047987094,193,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoA | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,0.9997887015342712,1.0,0.14112903225806453,0,385,both_wrong,385,1.0,f0cb36e2bc45b8dc36d04b322e4436e942c4fcc433988df90ebd72066f167c7b.dat,1,0.5696686743407009,385,16
KERNEL32.GetSystemTimeAsFileTime | KERNEL32.GetCurrentProcessId | KERNEL32.GetCurrentThreadId | KERNEL32.GetTickCount | KERNEL32.QueryPerformanceCounter | KERNEL32.GetStartupInfoW | KERNEL32.HeapCreate | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.GetProcAddress | KERNEL32.TlsAlloc | KERNEL32.TlsSetValue | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress | kernel32.EncodePointer | KERNEL32.TlsGetValue | KERNEL32.GetModuleHandleW | KERNEL32.GetProcAddress,FP,benign,1,0.9996218681335449,1.0,0.14285714285714285,0,501,full_wrong_svm_right,501,1.0,22d5aaae221bd8c46412d044f78dd037a7b7a8f1b08745e44e8f1ae0f2ba30d2,0,0.4088077293226702,501,16
MSVCRT.__set_app_type | MSVCRT.__p__fmode | MSVCRT.__p__commode | MSVCRT._controlfp | MSVCRT._initterm | MSVCRT.__getmainargs | MSVCRT._initterm | KERNEL32.GetStartupInfoA | KERNEL32.GetModuleHandleA | KERNEL32.GetTickCount | KERNEL32.GetTempPathW | MSVCRT.swprintf | KERNEL32.CreateDirectoryW | KERNEL32.Sleep | MSVCRT._EH_prolog | MSVCRT.memcpy | MSVCRT.memcpy | MSVCRT.memcpy | MSVCRT.memcpy | MSVCRT.memcpy | MSVCRT.memcpy | MSVCRT.??2@YAPAXI@Z | MSVCRT.memset | MSVCRT.??2@YAPAXI@Z | MSVCRT.memset,FN,trojan,0,2.194963781221304e-05,1.0,0.30434782608695654,1,30,both_wrong,30,1.0,69d060015687b1e435ab5c07e8279f96a983da94091cff1ddded486e5e5545c1,0,0.48508756481034665,30,16
