family,full_prediction,full_score,full_trace_coverage,graph_density,label,model_input_call_count,paired_status,retained_call_count,retained_call_coverage,sample_id,svm_prediction,svm_score,trace_call_count,unit_count
coinminer,0,0.5243896245956421,1.0,0.16647127784290738,1,246,full_wrong_svm_right,246,1.0,00082642a0b9be04934b3e5b7f0aa8a75524679592133c5b02370b29fac22794,1,0.5621424092768946,246,16
benign,1,0.9963893890380859,1.0,0.17891373801916932,0,145,full_wrong_svm_right,145,1.0,0008ac09c36a9d430ed9639165a0dcd714878573bed032548246bb5d77b63eff,0,0.3105334277810799,145,16
benign,0,0.06520187854766846,1.0,0.13128205128205128,0,468,both_right,468,1.0,000fdb30d9b9ccbd4b93910a2b7dd5aff0a6ed90c77191816692d40819261425,0,0.3991766950411659,468,16
backdoor,0,0.0001258160191355273,1.0,0.12361111111111112,1,501,both_wrong,501,1.0,00258f212d19453c26ce9b617915d7730d0d20cbfbe385e2cb5e0e3f3f25be34.dat,0,0.3114099887215302,501,16
benign,0,6.155278970254585e-05,1.0,0.1497844827586207,0,383,both_right,383,1.0,0026b4e56b887f3b0d57d5489a6bd7e63b95cebbf651429069b3f17a6fde9f9a,0,0.2532793010500723,383,16
dropper,1,0.9999198913574219,1.0,0.0,1,3,both_right,3,1.0,002d2bbda3ac27092fc428101c74f0bced96e4821522cd7b6638502ac89b8c3c,1,0.6874269528034692,3,3
benign,0,0.00024362996919080615,1.0,0.2560553633217993,0,181,both_right,181,1.0,00397709b124e5014ece2eb31ce0a34176539dd4267fc1a53da5606fad1e93c6,0,0.27346784058418505,181,16
trojan,1,0.9999594688415527,1.0,0.0,1,4,both_right,4,1.0,003aa28414abf29fa716b61ec6d6d13413451730c905ea6ecf5c2b820fb2e59d,1,0.6148048614648265,4,4
coinminer,0,0.0016101258806884289,1.0,0.2681564245810056,1,68,full_wrong_svm_right,68,1.0,003b33c3b0a6a6a47ffcb5f6d2d5ea8932c07b20c1a0cbace572e80768092ce0,1,0.5274677651915831,68,16
benign,0,4.726694896817207e-05,1.0,0.29577464788732394,0,40,both_right,40,1.0,0054cc3cc65fc552037ab2cc2093ddfb348610e70555921b7c9ca627aac5fb81,0,0.22106615024521256,40,16
