method,family,support,malware_support,correct,accuracy,recall
p2_dsvdd,backdoor,20,20,16,0.8,0.8
p2_dsvdd,benign,741,0,647,0.873144399460189,
p2_dsvdd,coinminer,24,24,15,0.625,0.625
p2_dsvdd,dropper,28,28,20,0.7142857142857143,0.7142857142857143
p2_dsvdd,keylogger,15,15,11,0.7333333333333333,0.7333333333333333
p2_dsvdd,ransomware,116,116,109,0.9396551724137931,0.9396551724137931
p2_dsvdd,rat,12,12,6,0.5,0.5
p2_dsvdd,trojan,39,39,28,0.717948717948718,0.717948717948718
p3a_dsvdd,backdoor,20,20,16,0.8,0.8
p3a_dsvdd,benign,741,0,629,0.8488529014844804,
p3a_dsvdd,coinminer,24,24,13,0.5416666666666666,0.5416666666666666
p3a_dsvdd,dropper,28,28,20,0.7142857142857143,0.7142857142857143
p3a_dsvdd,keylogger,15,15,9,0.6,0.6
p3a_dsvdd,ransomware,116,116,110,0.9482758620689655,0.9482758620689655
p3a_dsvdd,rat,12,12,8,0.6666666666666666,0.6666666666666666
p3a_dsvdd,trojan,39,39,30,0.7692307692307693,0.7692307692307693
p3b_bce,backdoor,20,20,13,0.65,0.65
p3b_bce,benign,741,0,700,0.9446693657219973,
p3b_bce,coinminer,24,24,8,0.3333333333333333,0.3333333333333333
p3b_bce,dropper,28,28,17,0.6071428571428571,0.6071428571428571
p3b_bce,keylogger,15,15,10,0.6666666666666666,0.6666666666666666
p3b_bce,ransomware,116,116,110,0.9482758620689655,0.9482758620689655
p3b_bce,rat,12,12,2,0.16666666666666666,0.16666666666666666
p3b_bce,trojan,39,39,21,0.5384615384615384,0.5384615384615384
api_ngram_svm,backdoor,20,20,16,0.8,0.8
api_ngram_svm,benign,741,0,699,0.9433198380566802,
api_ngram_svm,coinminer,24,24,17,0.7083333333333334,0.7083333333333334
api_ngram_svm,dropper,28,28,19,0.6785714285714286,0.6785714285714286
api_ngram_svm,keylogger,15,15,9,0.6,0.6
api_ngram_svm,ransomware,116,116,109,0.9396551724137931,0.9396551724137931
api_ngram_svm,rat,12,12,5,0.4166666666666667,0.4166666666666667
api_ngram_svm,trojan,39,39,32,0.8205128205128205,0.8205128205128205
